experiment_id,model_id,num_runs,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,hallucinated_names,edit_dist_experiment,edit_dist_model
Comb_Rules_SpecifyExCats_T0_247684,claude-sonnet-4-6,3,7.0,0.0,42.0,1.667,6.0,12.0,3.51,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,39.0,11.333
Comb_Rules_SpecifyExCats_T0_247684,gpt-5.4-2026-03-05,3,6.667,0.0,40.667,1.333,6.11,12.0,3.62,2.0,47.333,48.333,1.0,1.0,1.0,0.0,,37.667,7.667
Comb_Rules_SpecifyExCats_T0_247684,gpt-5.4-mini-2026-03-17,3,6.333,0.0,42.0,1.0,6.667,12.667,4.207,2.0,48.333,49.333,1.0,1.0,1.0,0.0,,39.0,11.667
Comb_Rules_SpecifyExCats_T0_247684,gpt-5.4-nano-2026-03-17,3,7.0,0.0,42.0,0.0,6.0,18.0,7.117,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,39.0,16.667
Comb_Rules_SpecifyExCats_T0_247684,models/gemini-2.5-flash,10,7.0,0.0,42.0,1.9,6.0,12.9,3.879,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,39.0,12.9
Comb_Rules_SpecifyExCats_T0_247684,models/gemini-2.5-flash-lite,3,7.0,0.0,42.0,1.0,6.0,19.0,6.0,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,37.0,1.0
Comb_Rules_SpecifyExCats_T0_247684,models/gemini-2.5-pro,3,7.0,0.0,42.0,1.667,6.0,13.333,4.107,2.0,49.0,50.0,1.0,1.0,1.0,0.0,,39.0,8.667
Comb_Rules_SpecifyEx_T1_247684,claude-haiku-4-5-20251001,10,5.5,11.0,41.7,1.8,7.971,14.4,5.197,2.972,58.2,59.2,0.993,1.0,0.996,0.0,,,20.7
Comb_Rules_SpecifyEx_T1_247684,claude-opus-4-6,10,6.3,13.0,42.0,1.4,7.167,17.2,5.976,3.062,64.9,65.9,1.0,1.0,1.0,0.0,,,28.8
Comb_Rules_SpecifyEx_T1_247684,claude-sonnet-4-6,10,8.4,23.7,42.0,1.2,5.094,11.6,3.594,2.987,75.1,76.1,1.0,1.0,1.0,0.0,,,32.9
Comb_Rules_SpecifyEx_T1_247684,gpt-5.4-2026-03-05,3,3.667,13.667,42.0,28.0,29.557,35.0,2.443,3.953,78.0,79.0,1.0,1.0,1.0,0.0,,,14.0
Comb_Rules_SpecifyEx_T1_247684,gpt-5.4-mini-2026-03-17,3,8.667,5.0,42.0,0.0,4.9,18.333,6.43,2.317,55.667,56.667,1.0,1.0,1.0,0.0,,,20.333
Comb_Rules_SpecifyEx_T1_247684,gpt-5.4-nano-2026-03-17,3,10.0,0.0,35.333,0.0,3.98,12.0,4.117,2.0,45.333,46.333,0.841,1.0,0.913,0.0,,,18.667
Comb_Rules_SpecifyEx_T1_247684,models/gemini-2.5-flash,3,4.667,10.0,41.0,3.333,9.14,19.667,6.673,3.167,57.667,58.667,0.976,1.0,0.988,0.0,,,25.333
Comb_Rules_SpecifyEx_T1_247684,models/gemini-2.5-flash-lite,3,5.667,9.667,39.667,1.333,7.033,18.0,6.863,2.957,55.0,56.0,0.976,1.0,0.988,0.0,,,28.0
Comb_Rules_SpecifyEx_T1_247684,models/gemini-2.5-pro,3,5.667,7.0,39.667,3.0,7.153,14.333,4.557,2.62,52.333,53.333,0.952,0.959,0.955,1.667,,,18.667
