model_id,prompt_stem,temperature,has_rules,num_records,num_categories,num_subcategories,num_games,dist_min,dist_mean,dist_max,dist_stdev,avg_path_length,num_edges,num_nodes,recall,precision,f1,num_hallucinations,edit_dist_experiment,edit_dist_model
gpt-5.4-2026-03-05,Basic,0,false,1,6.0,13.667,40.667,0.0,6.867,16.667,6.533,3.0,60.333,61.333,1.0,1.0,1.0,0.0,,25.667
gpt-5.4-2026-03-05,Basic,0,true,1,1.0,7.0,42.0,42.0,42.0,42.0,0.0,4.0,67.667,68.667,1.0,1.0,1.0,0.0,,25.0
gpt-5.4-2026-03-05,Basic,1,false,1,4.333,9.333,40.667,13.0,17.333,26.0,5.147,3.317,58.0,59.0,1.0,1.0,1.0,0.0,,27.0
gpt-5.4-2026-03-05,Basic,1,true,1,1.0,7.333,42.0,42.0,42.0,42.0,0.0,3.993,71.667,72.667,1.0,1.0,1.0,0.0,,27.333
gpt-5.4-2026-03-05,SpecifyEx,0,false,1,6.667,17.0,42.0,0.333,6.333,18.333,6.193,3.0,65.667,66.667,1.0,1.0,1.0,0.0,40.0,31.667
gpt-5.4-2026-03-05,SpecifyEx,0,true,1,5.0,9.0,27.667,14.0,15.223,19.0,1.617,2.52,48.333,49.333,0.992,1.0,0.996,0.0,,
gpt-5.4-2026-03-05,SpecifyEx,1,false,1,5.333,6.0,40.0,14.333,17.483,23.0,3.097,2.99,55.667,56.667,1.0,1.0,1.0,0.0,,22.333
gpt-5.4-2026-03-05,SpecifyEx,1,true,1,3.667,13.667,42.0,28.0,29.557,35.0,2.443,3.953,78.0,79.0,1.0,1.0,1.0,0.0,,14.0
gpt-5.4-2026-03-05,SpecifyExCats,0,false,1,6.0,0.0,38.333,1.333,6.433,12.667,4.32,2.0,44.333,45.333,1.0,1.0,1.0,0.0,34.333,15.333
gpt-5.4-2026-03-05,SpecifyExCats,0,true,1,6.667,0.0,40.667,1.333,6.11,12.0,3.62,2.0,47.333,48.333,1.0,1.0,1.0,0.0,37.667,7.667
gpt-5.4-2026-03-05,SpecifyExCats,1,false,1,5.0,0.0,33.0,3.333,6.6,13.333,4.08,2.0,38.0,39.0,0.992,1.0,0.996,0.0,31.0,14.667
gpt-5.4-2026-03-05,SpecifyExCats,1,true,1,6.333,0.0,39.333,2.333,6.267,13.0,4.16,2.0,45.667,46.667,1.0,1.0,1.0,0.0,36.333,10.667
gpt-5.4-mini-2026-03-17,Basic,0,false,1,14.0,0.0,40.667,0.0,3.61,15.0,5.477,2.0,54.667,55.667,0.968,1.0,0.984,0.0,,19.0
gpt-5.4-mini-2026-03-17,Basic,0,true,1,8.0,15.333,40.667,12.667,17.723,29.333,5.67,3.167,85.0,86.0,0.968,1.0,0.983,0.0,,31.0
gpt-5.4-mini-2026-03-17,Basic,1,false,1,5.0,2.333,41.0,15.0,17.92,22.667,3.14,2.333,48.333,49.333,0.976,1.0,0.988,0.0,,22.333
gpt-5.4-mini-2026-03-17,Basic,1,true,1,8.667,12.0,41.333,0.667,4.933,18.333,6.553,2.643,62.0,63.0,0.984,1.0,0.992,0.0,,29.0
gpt-5.4-mini-2026-03-17,SpecifyEx,0,false,1,7.0,0.0,41.667,0.0,6.027,14.333,6.503,2.0,48.667,49.667,0.992,1.0,0.996,0.0,39.667,10.667
gpt-5.4-mini-2026-03-17,SpecifyEx,0,true,1,8.667,0.0,42.0,0.0,4.863,18.667,6.717,2.0,50.667,51.667,1.0,1.0,1.0,0.0,,13.667
gpt-5.4-mini-2026-03-17,SpecifyEx,1,false,1,7.0,0.0,41.667,0.0,6.763,14.333,6.54,2.0,48.667,49.667,1.0,1.0,1.0,0.0,,19.667
gpt-5.4-mini-2026-03-17,SpecifyEx,1,true,1,8.667,5.0,42.0,0.0,4.9,18.333,6.43,2.317,55.667,56.667,1.0,1.0,1.0,0.0,,20.333
gpt-5.4-mini-2026-03-17,SpecifyExCats,0,false,1,7.0,0.0,42.0,0.0,6.0,11.333,4.647,2.0,49.0,50.0,1.0,0.992,0.996,0.333,38.0,16.667
gpt-5.4-mini-2026-03-17,SpecifyExCats,0,true,1,6.333,0.0,42.0,1.0,6.667,12.667,4.207,2.0,48.333,49.333,1.0,1.0,1.0,0.0,39.0,11.667
gpt-5.4-mini-2026-03-17,SpecifyExCats,1,false,1,6.667,0.0,41.0,0.667,6.167,11.0,3.82,2.0,47.667,48.667,1.0,0.992,0.996,0.333,39.0,24.667
gpt-5.4-mini-2026-03-17,SpecifyExCats,1,true,1,7.0,0.0,42.0,0.0,6.0,12.333,4.42,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,17.667
gpt-5.4-nano-2026-03-17,Basic,0,false,1,11.0,0.0,41.667,0.667,3.877,12.333,3.52,2.0,52.667,53.667,1.0,1.0,1.0,0.0,,27.0
gpt-5.4-nano-2026-03-17,Basic,0,true,1,9.0,3.0,35.667,0.333,3.963,11.667,3.97,2.28,47.667,48.667,1.0,1.0,1.0,0.0,,23.333
gpt-5.4-nano-2026-03-17,Basic,1,false,1,11.667,0.0,41.333,0.667,3.577,11.0,3.183,2.0,53.0,54.0,0.984,0.992,0.988,0.333,,31.333
gpt-5.4-nano-2026-03-17,Basic,1,true,1,8.0,2.333,41.0,1.0,5.167,12.333,4.143,2.167,64.667,65.667,0.976,0.984,0.98,0.667,,21.0
gpt-5.4-nano-2026-03-17,SpecifyEx,0,false,1,9.667,0.0,41.667,0.0,4.323,11.0,4.29,2.0,51.333,52.333,0.992,1.0,0.996,0.0,39.667,19.333
gpt-5.4-nano-2026-03-17,SpecifyEx,0,true,1,8.333,16.667,27.667,0.0,3.953,14.667,5.337,1.333,48.667,49.667,0.667,0.667,0.667,0.0,,
gpt-5.4-nano-2026-03-17,SpecifyEx,1,false,1,10.333,0.0,35.0,0.333,3.423,10.0,3.273,2.0,45.333,46.333,0.992,1.0,0.996,0.0,,31.667
gpt-5.4-nano-2026-03-17,SpecifyEx,1,true,1,10.0,0.0,35.333,0.0,3.98,12.0,4.117,2.0,45.333,46.333,0.841,1.0,0.913,0.0,,18.667
gpt-5.4-nano-2026-03-17,SpecifyExCats,0,false,1,6.667,0.0,39.333,0.0,5.907,16.667,6.49,2.0,46.0,47.0,0.976,0.961,0.969,1.667,35.333,18.333
gpt-5.4-nano-2026-03-17,SpecifyExCats,0,true,1,7.0,0.0,42.0,0.0,6.0,18.0,7.117,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,16.667
gpt-5.4-nano-2026-03-17,SpecifyExCats,1,false,1,7.0,0.0,41.333,0.333,5.907,17.333,6.72,2.0,48.333,49.333,0.984,1.0,0.992,0.0,39.333,22.667
gpt-5.4-nano-2026-03-17,SpecifyExCats,1,true,1,6.667,0.0,41.0,0.0,6.177,14.667,5.347,2.0,47.667,48.667,0.992,1.0,0.996,0.0,38.0,28.333
models/gemini-2.5-flash,Basic,0,false,1,4.0,8.0,41.333,3.333,10.333,21.667,8.33,3.217,57.333,58.333,0.984,0.984,0.984,0.667,,24.0
models/gemini-2.5-flash,Basic,0,true,1,4.0,11.0,21.0,2.0,5.25,9.0,3.3,3.0,36.0,37.0,0.976,1.0,0.988,0.0,,6.0
models/gemini-2.5-flash,Basic,1,false,1,3.667,7.0,41.667,4.333,11.583,17.667,5.813,3.113,53.0,54.0,0.992,0.992,0.992,0.333,,20.667
models/gemini-2.5-flash,Basic,1,true,1,5.0,13.0,41.0,2.667,8.2,16.333,5.34,2.983,59.0,60.0,0.976,0.992,0.984,0.333,,24.333
models/gemini-2.5-flash,SpecifyEx,0,false,1,1.333,3.333,42.0,32.0,35.0,38.0,4.243,4.0,56.333,57.333,1.0,1.0,1.0,0.0,39.333,17.0
models/gemini-2.5-flash,SpecifyEx,0,true,1,4.667,9.0,34.333,3.333,7.25,14.0,4.5,3.0,48.0,49.0,0.952,1.0,0.976,0.0,,16.333
models/gemini-2.5-flash,SpecifyEx,1,false,1,3.667,8.667,41.333,6.0,11.473,17.0,5.487,3.66,63.0,64.0,0.984,1.0,0.992,0.0,,26.333
models/gemini-2.5-flash,SpecifyEx,1,true,1,4.667,10.0,41.0,3.333,9.14,19.667,6.673,3.167,57.667,58.667,0.976,1.0,0.988,0.0,,25.333
models/gemini-2.5-flash,SpecifyExCats,0,false,1,7.0,0.0,42.0,4.0,6.0,8.667,1.44,2.0,49.0,50.0,1.0,1.0,1.0,0.0,38.0,15.667
models/gemini-2.5-flash,SpecifyExCats,0,true,1,7.0,0.0,42.0,1.667,6.0,12.667,3.837,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,8.667
models/gemini-2.5-flash,SpecifyExCats,1,false,1,7.0,0.0,42.0,3.0,6.0,9.667,2.29,2.0,49.0,50.0,1.0,1.0,1.0,0.0,40.0,21.667
models/gemini-2.5-flash,SpecifyExCats,1,true,1,7.0,0.0,42.0,1.667,6.0,11.333,3.523,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,15.667
models/gemini-2.5-flash-lite,Basic,0,false,1,4.0,6.0,42.0,3.0,10.5,17.0,6.24,2.93,52.0,53.0,1.0,1.0,1.0,0.0,,0.0
models/gemini-2.5-flash-lite,Basic,0,true,1,1.0,6.0,38.0,38.0,38.0,38.0,0.0,3.0,45.0,46.0,0.905,1.0,0.95,0.0,,3.0
models/gemini-2.5-flash-lite,Basic,1,false,1,3.0,6.667,41.333,3.0,16.567,29.667,17.667,3.577,57.667,58.667,0.984,1.0,0.992,0.0,,36.667
models/gemini-2.5-flash-lite,Basic,1,true,1,4.0,20.333,40.333,14.0,20.057,32.667,7.153,3.657,65.333,66.333,0.976,1.0,0.988,0.0,,37.333
models/gemini-2.5-flash-lite,SpecifyEx,0,false,1,4.0,11.0,41.0,7.0,10.25,16.0,3.95,3.0,56.0,57.0,0.976,1.0,0.988,0.0,39.0,2.0
models/gemini-2.5-flash-lite,SpecifyEx,0,true,1,6.0,11.0,42.0,0.0,7.0,17.0,6.48,3.0,59.0,60.0,1.0,1.0,1.0,0.0,,3.0
models/gemini-2.5-flash-lite,SpecifyEx,1,false,1,2.667,7.333,40.667,17.0,21.527,26.333,4.317,3.333,53.667,54.667,0.968,1.0,0.984,0.0,,28.0
models/gemini-2.5-flash-lite,SpecifyEx,1,true,1,5.667,9.667,39.667,1.333,7.033,18.0,6.863,2.957,55.0,56.0,0.976,1.0,0.988,0.0,,28.0
models/gemini-2.5-flash-lite,SpecifyExCats,0,false,1,7.0,0.0,42.0,4.0,6.0,9.0,1.83,2.0,49.0,50.0,1.0,1.0,1.0,0.0,38.0,0.0
models/gemini-2.5-flash-lite,SpecifyExCats,0,true,1,7.0,0.0,42.0,1.0,6.0,19.0,6.0,2.0,49.0,50.0,1.0,1.0,1.0,0.0,37.0,1.0
models/gemini-2.5-flash-lite,SpecifyExCats,1,false,1,7.0,0.0,41.667,2.667,5.953,16.0,5.08,2.0,48.667,49.667,0.992,1.0,0.996,0.0,39.667,27.333
models/gemini-2.5-flash-lite,SpecifyExCats,1,true,1,6.667,0.0,39.333,1.0,5.897,14.667,4.843,2.0,46.0,47.0,0.984,1.0,0.992,0.0,35.0,21.667
models/gemini-2.5-pro,Basic,0,false,1,5.333,11.333,42.0,3.0,8.167,12.667,3.757,2.867,58.667,59.667,1.0,1.0,1.0,0.0,,24.333
models/gemini-2.5-pro,Basic,0,true,1,5.0,13.333,41.667,2.0,8.333,15.0,5.02,2.95,60.0,61.0,0.992,1.0,0.996,0.0,,18.333
models/gemini-2.5-pro,Basic,1,false,1,5.0,5.333,41.667,4.0,8.567,12.333,3.44,2.593,52.0,53.0,1.0,1.0,1.0,0.0,,16.0
models/gemini-2.5-pro,Basic,1,true,1,6.0,10.667,41.667,3.0,7.54,13.0,3.853,2.83,58.333,59.333,1.0,1.0,1.0,0.0,,19.0
models/gemini-2.5-pro,SpecifyEx,0,false,1,4.667,8.333,41.667,4.667,9.033,13.667,3.783,2.89,54.667,55.667,0.992,1.0,0.996,0.0,39.667,23.333
models/gemini-2.5-pro,SpecifyEx,0,true,1,5.333,5.333,40.0,3.0,7.557,16.333,5.2,2.68,50.667,51.667,0.992,0.985,0.988,0.667,,8.333
models/gemini-2.5-pro,SpecifyEx,1,false,1,5.333,5.667,42.0,4.0,7.933,12.0,3.167,2.563,53.0,54.0,1.0,1.0,1.0,0.0,,24.0
models/gemini-2.5-pro,SpecifyEx,1,true,1,5.667,7.0,39.667,3.0,7.153,14.333,4.557,2.62,52.333,53.333,0.952,0.959,0.955,1.667,,18.667
models/gemini-2.5-pro,SpecifyExCats,0,false,1,7.0,0.0,42.0,4.333,6.0,8.667,1.793,2.0,49.0,50.0,1.0,1.0,1.0,0.0,38.0,23.0
models/gemini-2.5-pro,SpecifyExCats,0,true,1,7.0,0.0,42.0,1.667,6.0,13.333,4.107,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,8.667
models/gemini-2.5-pro,SpecifyExCats,1,false,1,7.0,0.0,41.667,2.667,5.953,11.333,3.13,2.0,48.667,49.667,1.0,1.0,1.0,0.0,39.667,20.333
models/gemini-2.5-pro,SpecifyExCats,1,true,1,7.0,0.0,42.0,3.333,6.0,11.333,2.817,2.0,49.0,50.0,1.0,1.0,1.0,0.0,39.0,12.0
